"NSRNAME","ecosite","nCell","Classification","Upland","Color","ClassordNum","DEPord","ecosite_Area_Stralberg_20112040_CanESM2","ecosite_Area_perc_Stralberg_20112040_CanESM2","ecosite_Area_Stralberg_20112040_CSIRO","ecosite_Area_perc_Stralberg_20112040_CSIRO","ecosite_Area_Stralberg_20112040_HadGEM2","ecosite_Area_perc_Stralberg_20112040_HadGEM2","ecosite_Area_Stralberg_20412070_CanESM2","ecosite_Area_perc_Stralberg_20412070_CanESM2","ecosite_Area_Stralberg_20412070_CSIRO","ecosite_Area_perc_Stralberg_20412070_CSIRO","ecosite_Area_Stralberg_20412070_HadGEM2","ecosite_Area_perc_Stralberg_20412070_HadGEM2","ecosite_Area_Stralberg_20712100_CanESM2","ecosite_Area_perc_Stralberg_20712100_CanESM2","ecosite_Area_Stralberg_20712100_CSIRO","ecosite_Area_perc_Stralberg_20712100_CSIRO","ecosite_Area_Stralberg_20712100_HadGEM2","ecosite_Area_perc_Stralberg_20712100_HadGEM2","ecosite_Area_ab_veg_fm_c_20112040","ecosite_Area_perc_ab_veg_fm_c_20112040","ecosite_Area_ab_veg_fm_c_20112040_CanESM2","ecosite_Area_perc_ab_veg_fm_c_20112040_CanESM2","ecosite_Area_ab_veg_fm_c_20112040_CSIRO","ecosite_Area_perc_ab_veg_fm_c_20112040_CSIRO","ecosite_Area_ab_veg_fm_c_20112040_HadGEM2","ecosite_Area_perc_ab_veg_fm_c_20112040_HadGEM2","ecosite_Area_ab_veg_fm_c_20412070","ecosite_Area_perc_ab_veg_fm_c_20412070","ecosite_Area_ab_veg_fm_c_20412070_CanESM2","ecosite_Area_perc_ab_veg_fm_c_20412070_CanESM2","ecosite_Area_ab_veg_fm_c_20412070_CSIRO","ecosite_Area_perc_ab_veg_fm_c_20412070_CSIRO","ecosite_Area_ab_veg_fm_c_20412070_HadGEM2","ecosite_Area_perc_ab_veg_fm_c_20412070_HadGEM2","ecosite_Area_ab_veg_fm_c_20712100","ecosite_Area_perc_ab_veg_fm_c_20712100","ecosite_Area_ab_veg_fm_c_20712100_CanESM2","ecosite_Area_perc_ab_veg_fm_c_20712100_CanESM2","ecosite_Area_ab_veg_fm_c_20712100_CSIRO","ecosite_Area_perc_ab_veg_fm_c_20712100_CSIRO","ecosite_Area_ab_veg_fm_c_20712100_HadGEM2","ecosite_Area_perc_ab_veg_fm_c_20712100_HadGEM2","ecosite_Area_ab_veg_fm_uc_20112040","ecosite_Area_perc_ab_veg_fm_uc_20112040","ecosite_Area_ab_veg_fm_uc_20112040_CanESM2","ecosite_Area_perc_ab_veg_fm_uc_20112040_CanESM2","ecosite_Area_ab_veg_fm_uc_20112040_CSIRO","ecosite_Area_perc_ab_veg_fm_uc_20112040_CSIRO","ecosite_Area_ab_veg_fm_uc_20112040_HadGEM2","ecosite_Area_perc_ab_veg_fm_uc_20112040_HadGEM2","ecosite_Area_ab_veg_fm_uc_20412070","ecosite_Area_perc_ab_veg_fm_uc_20412070","ecosite_Area_ab_veg_fm_uc_20412070_CanESM2","ecosite_Area_perc_ab_veg_fm_uc_20412070_CanESM2","ecosite_Area_ab_veg_fm_uc_20412070_CSIRO","ecosite_Area_perc_ab_veg_fm_uc_20412070_CSIRO","ecosite_Area_ab_veg_fm_uc_20412070_HadGEM2","ecosite_Area_perc_ab_veg_fm_uc_20412070_HadGEM2","ecosite_Area_ab_veg_fm_uc_20712100","ecosite_Area_perc_ab_veg_fm_uc_20712100","ecosite_Area_ab_veg_fm_uc_20712100_CanESM2","ecosite_Area_perc_ab_veg_fm_uc_20712100_CanESM2","ecosite_Area_ab_veg_fm_uc_20712100_CSIRO","ecosite_Area_perc_ab_veg_fm_uc_20712100_CSIRO","ecosite_Area_ab_veg_fm_uc_20712100_HadGEM2","ecosite_Area_perc_ab_veg_fm_uc_20712100_HadGEM2","ecosite_Area_baseline","ecosite_Area_perc_baseline"
"Alpine",11,1,"Medium-Xeric Pine",1,"#7D0C0C",11,"11_Medium-Xeric Pine",0,0,0,0,1.03588035330176,0,0,0,1.9702287837863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alpine",12,824,"Medium-Xeric Spruce",1,"#698222",12,"12_Medium-Xeric Spruce",573.416126089178,1,565.225831528944,0.9,54.6590662378294,0.1,41.935216003767,0.1,125.122037103269,0.2,32.5333587611094,0.1,25.2176498803019,0,23.7935577439785,0,25.2176498803019,0,96.0138688663719,0.2,96.0138688663719,0.2,96.0138688663719,0.2,96.0138688663719,0.2,96.0138688663719,0.2,96.0138688663719,0.2,96.0138688663719,0.2,96.0138688663719,0.2,96.0138688663719,0.2,95.9710052366136,0.2,96.0138688663719,0.2,96.0138688663719,0.2,96.0138688663719,0.2,96.0138688663719,0.2,96.0138688663719,0.2,96.0138688663719,0.2,96.0138688663719,0.2,96.0138688663719,0.2,95.2528033832787,0.2,95.9526797445724,0.2,96.0138688663719,0.2,95.9710052366136,0.2,95.0873265395639,0.2,95.9526797445724,0.2,96.0138688663719,0.2
"Alpine",13,86,"Medium-Mesic Grassland",1,"#D5FF95",13,"13_Medium-Mesic Grassland",13.3655126173107,0,0.186165863648057,0,1.97083218675107,0,2049.97053817266,3.4,160.275565014145,0.3,1143.62612415094,1.9,6937.98644764992,11.5,5451.24684697686,9.1,6937.98644764992,11.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.8820486113982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.80692907050252,0,0,0,12.0608990583569,0,3.49512573331594,0,34.0276724434079,0.1,5.6950164437294,0,15.4241252485663,0,0,0
"Alpine",14,1,"Medium-Mesic Aspen",1,"#B1FF38",14,"14_Medium-Mesic Aspen",0,0,0,0,0,0,0,0,0,0,0.151418209075928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alpine",15,12,"Medium-Mesic Aspen Mix",1,"#9EFF0C",15,"15_Medium-Mesic Aspen Mix",2.65774354711175,0,1.72592348232865,0,1116.41662783075,1.9,5.69502893462777,0,5.04964196495712,0,309.883809025758,0.5,0,0,7.67453306913376,0,0,0,11.3638308388181,0,11.3638308388181,0,11.3638308388181,0,11.3638308388181,0,11.3638308388181,0,11.3638308388181,0,11.3638308388181,0,11.3638308388181,0,11.3638308388181,0,11.3638308388181,0,11.3638308388181,0,11.3638308388181,0,11.3638308388181,0,11.3638308388181,0,11.3638308388181,0,11.3638308388181,0,11.3638308388181,0,11.3638308388181,0,11.3638308388181,0,11.3638308388181,0,11.3638308388181,0,11.3638308388181,0,11.3638308388181,0,11.3638308388181,0,11.3638308388181,0
"Alpine",16,6003,"Medium-Mesic Pine",1,"#0B7401",16,"16_Medium-Mesic Pine",3154.83026714935,5.2,2794.71284069405,4.6,3814.73330277199,6.3,1301.82438920701,2.2,5026.39223762342,8.4,1709.40709891012,2.8,1,0,123.347145009786,0.2,1,0,1396.52127807259,2.3,1396.52127807259,2.3,1396.52127807259,2.3,1396.52127807259,2.3,1396.52127807259,2.3,1396.52127807259,2.3,1396.52127807259,2.3,1396.52127807259,2.3,1396.52127807259,2.3,1395.72232741534,2.3,1396.52127807259,2.3,1396.52127807259,2.3,1396.52127807259,2.3,1396.52127807259,2.3,1396.52127807259,2.3,1396.924065907,2.3,1396.52127807259,2.3,1396.43641581803,2.3,1396.52127807259,2.3,1400.924065907,2.3,1396.52127807259,2.3,1390.94260095477,2.3,1395.6066625607,2.3,1396.52127807259,2.3,1396.52127807259,2.3
"Alpine",17,88,"Medium-Mesic Pine Mix",1,"#0B7401",17,"17_Medium-Mesic Pine Mix",38.5747546031344,0.1,4.06380263436586,0,46.8228077644244,0.1,0,0,10.3503561578691,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alpine",18,7603,"Medium-Mesic White Spruce",1,"#085401",18,"18_Medium-Mesic White Spruce",4691.16352618285,7.8,5117.0990667684,8.5,2708.84928488343,4.5,4501.3729995662,7.5,2630.41931744568,4.4,4443.64327899564,7.4,982.034172715847,1.6,2286.27506223132,3.8,982.034172715847,1.6,6513.13551145436,10.8,6513.13551145436,10.8,6513.13551145436,10.8,6513.13551145436,10.8,6513.13551145436,10.8,6513.13551145436,10.8,6513.13551145436,10.8,6513.13551145436,10.8,6513.13551145436,10.8,6500.05241350021,10.8,6513.13551145436,10.8,6513.13551145436,10.8,6513.13551145436,10.8,6513.13551145436,10.8,6513.13551145436,10.8,6512.73272361995,10.8,6513.13551145436,10.8,6510.41344463842,10.8,6513.13551145436,10.8,6496.6718245616,10.8,6509.64038572104,10.8,6484.68651612878,10.8,6508.35511052252,10.8,6497.71138620579,10.8,6513.13551145436,10.8
"Alpine",19,1,"Medium-Hygric Grassland",0,"#99FF89",19,"19_Medium-Hygric Grassland",0,0,0,0,0,0,21.7170469590765,0,3.54313308792189,0,7.14000763397962,0,50.6422253678311,0.1,105.492394111742,0.2,50.6422253678311,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alpine",20,1,"Medium-Hygric Poplar Mix",0,"#14C800",20,"20_Medium-Hygric Poplar Mix",0,0,0,0,0.83460795879364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
