"","NSRNAME","DEP_ecosite","nPOLY","DEP_Area","DEP_Area_perc","DEPordNum","Classification","Upland","Color","DEPord"
"45","Athabasca Plain",13,2,0.746707282960415,0,13,"Medium-Mesic Grassland",1,"#D5FF95","13_Medium-Mesic Grassland"
"46","Central Mixedwood",13,8910,8895.01358323172,2,13,"Medium-Mesic Grassland",1,"#D5FF95","13_Medium-Mesic Grassland"
"47","Kazan Uplands",13,1,0,0,13,"Medium-Mesic Grassland",1,"#D5FF95","13_Medium-Mesic Grassland"
"48","Lower Boreal Highlands",13,4,4,0.3,13,"Medium-Mesic Grassland",1,"#D5FF95","13_Medium-Mesic Grassland"
"49","Athabasca Plain",14,12,10.2448240220547,0,14,"Medium-Mesic Aspen",1,"#B1FF38","14_Medium-Mesic Aspen"
"50","Central Mixedwood",14,1,0,0,14,"Medium-Mesic Aspen",1,"#B1FF38","14_Medium-Mesic Aspen"
"51","Kazan Uplands",14,1,0,0,14,"Medium-Mesic Aspen",1,"#B1FF38","14_Medium-Mesic Aspen"
"52","Lower Boreal Highlands",14,1,0,0,14,"Medium-Mesic Aspen",1,"#B1FF38","14_Medium-Mesic Aspen"
"53","Athabasca Plain",15,105,88.3350801925875,0.2,15,"Medium-Mesic Aspen Mix",1,"#9EFF0C","15_Medium-Mesic Aspen Mix"
"54","Central Mixedwood",15,9117,9049.2900344774,2.1,15,"Medium-Mesic Aspen Mix",1,"#9EFF0C","15_Medium-Mesic Aspen Mix"
"55","Kazan Uplands",15,1,0,0,15,"Medium-Mesic Aspen Mix",1,"#9EFF0C","15_Medium-Mesic Aspen Mix"
"56","Lower Boreal Highlands",15,325,304.017214236781,19.6,15,"Medium-Mesic Aspen Mix",1,"#9EFF0C","15_Medium-Mesic Aspen Mix"
"57","Athabasca Plain",50,485,405.436578173045,0.9,15.5,"Medium-Mesic Aspen Boreal Mixedwood",1,"#26FE00","50_Medium-Mesic Aspen Boreal Mixedwood"
"58","Central Mixedwood",50,80058,79383.4546929185,18.1,15.5,"Medium-Mesic Aspen Boreal Mixedwood",1,"#26FE00","50_Medium-Mesic Aspen Boreal Mixedwood"
"59","Kazan Uplands",50,13,8.28577080817195,10.8,15.5,"Medium-Mesic Aspen Boreal Mixedwood",1,"#26FE00","50_Medium-Mesic Aspen Boreal Mixedwood"
"60","Lower Boreal Highlands",50,1127,1009.03622876582,65.1,15.5,"Medium-Mesic Aspen Boreal Mixedwood",1,"#26FE00","50_Medium-Mesic Aspen Boreal Mixedwood"
"61","Athabasca Plain",16,3,3,0,16,"Medium-Mesic Pine",1,"#0B7401","16_Medium-Mesic Pine"
"62","Central Mixedwood",16,294,287.180692056194,0.1,16,"Medium-Mesic Pine",1,"#0B7401","16_Medium-Mesic Pine"
"63","Kazan Uplands",16,5,2.49924401193857,3.2,16,"Medium-Mesic Pine",1,"#0B7401","16_Medium-Mesic Pine"
"64","Lower Boreal Highlands",16,1,0,0,16,"Medium-Mesic Pine",1,"#0B7401","16_Medium-Mesic Pine"
"65","Athabasca Plain",17,82,78.2618505358696,0.2,17,"Medium-Mesic Pine Mix",1,"#0B7401","17_Medium-Mesic Pine Mix"
"66","Central Mixedwood",17,14,6.73814951128588,0,17,"Medium-Mesic Pine Mix",1,"#0B7401","17_Medium-Mesic Pine Mix"
"67","Kazan Uplands",17,1,0,0,17,"Medium-Mesic Pine Mix",1,"#0B7401","17_Medium-Mesic Pine Mix"
"68","Lower Boreal Highlands",17,4,4,0.3,17,"Medium-Mesic Pine Mix",1,"#0B7401","17_Medium-Mesic Pine Mix"
"69","Athabasca Plain",18,37,18.789071907755,0,18,"Medium-Mesic White Spruce",1,"#085401","18_Medium-Mesic White Spruce"
"70","Central Mixedwood",18,15122,15005.6952199342,3.4,18,"Medium-Mesic White Spruce",1,"#085401","18_Medium-Mesic White Spruce"
"71","Kazan Uplands",18,1,0,0,18,"Medium-Mesic White Spruce",1,"#085401","18_Medium-Mesic White Spruce"
"72","Lower Boreal Highlands",18,30,14.1744306330947,0.9,18,"Medium-Mesic White Spruce",1,"#085401","18_Medium-Mesic White Spruce"
"73","Athabasca Plain",19,1,0.647194921970367,0,19,"Medium-Hygric Grassland",0,"#99FF89","19_Medium-Hygric Grassland"
"74","Central Mixedwood",19,1738,1716.53999447403,0.4,19,"Medium-Hygric Grassland",0,"#99FF89","19_Medium-Hygric Grassland"
"75","Kazan Uplands",19,1,0,0,19,"Medium-Hygric Grassland",0,"#99FF89","19_Medium-Hygric Grassland"
"76","Lower Boreal Highlands",19,1,0,0,19,"Medium-Hygric Grassland",0,"#99FF89","19_Medium-Hygric Grassland"
"77","Athabasca Plain",20,59,45.8780409679166,0.1,20,"Medium-Hygric Poplar Mix",0,"#14C800","20_Medium-Hygric Poplar Mix"
"78","Central Mixedwood",20,12855,12794.5741303352,2.9,20,"Medium-Hygric Poplar Mix",0,"#14C800","20_Medium-Hygric Poplar Mix"
"79","Kazan Uplands",20,1,0,0,20,"Medium-Hygric Poplar Mix",0,"#14C800","20_Medium-Hygric Poplar Mix"
