"","NSRNAME","DEP_ecosite","nPOLY","DEP_Area","DEP_Area_perc","DEPordNum","Classification","Upland","Color","DEPord"
"44","Upper Boreal Highlands",11,24,24,0,11,"Medium-Xeric Pine",1,"#7D0C0C","11_Medium-Xeric Pine"
"45","Athabasca Plain",12,287,275.330926191062,0.1,12,"Medium-Xeric Spruce",1,"#698222","12_Medium-Xeric Spruce"
"46","Central Mixedwood",12,3587,3562.88445817819,0.4,12,"Medium-Xeric Spruce",1,"#698222","12_Medium-Xeric Spruce"
"47","Lower Boreal Highlands",12,107,103.24290715158,0.1,12,"Medium-Xeric Spruce",1,"#698222","12_Medium-Xeric Spruce"
"48","Upper Boreal Highlands",12,1,0.458265274763107,0,12,"Medium-Xeric Spruce",1,"#698222","12_Medium-Xeric Spruce"
"49","Athabasca Plain",13,9,7.74670728296041,0,13,"Medium-Mesic Grassland",1,"#D5FF95","13_Medium-Mesic Grassland"
"50","Central Mixedwood",13,13669,13653.1494855732,1.4,13,"Medium-Mesic Grassland",1,"#D5FF95","13_Medium-Mesic Grassland"
"51","Lower Boreal Highlands",13,177,168.613624101505,0.2,13,"Medium-Mesic Grassland",1,"#D5FF95","13_Medium-Mesic Grassland"
"52","Upper Boreal Highlands",13,275,271.650452378206,0.2,13,"Medium-Mesic Grassland",1,"#D5FF95","13_Medium-Mesic Grassland"
"53","Athabasca Plain",14,503,503,0.2,14,"Medium-Mesic Aspen",1,"#B1FF38","14_Medium-Mesic Aspen"
"54","Central Mixedwood",14,1,0,0,14,"Medium-Mesic Aspen",1,"#B1FF38","14_Medium-Mesic Aspen"
"55","Lower Boreal Highlands",14,1,0,0,14,"Medium-Mesic Aspen",1,"#B1FF38","14_Medium-Mesic Aspen"
"56","Upper Boreal Highlands",14,1,0,0,14,"Medium-Mesic Aspen",1,"#B1FF38","14_Medium-Mesic Aspen"
"57","Athabasca Plain",15,115,98.9606129742928,0,15,"Medium-Mesic Aspen Mix",1,"#9EFF0C","15_Medium-Mesic Aspen Mix"
"58","Central Mixedwood",15,24302,24182.137784714,2.5,15,"Medium-Mesic Aspen Mix",1,"#9EFF0C","15_Medium-Mesic Aspen Mix"
"59","Lower Boreal Highlands",15,4917,4770.19241707921,5.9,15,"Medium-Mesic Aspen Mix",1,"#9EFF0C","15_Medium-Mesic Aspen Mix"
"60","Upper Boreal Highlands",15,2191,2109.63403655615,1.7,15,"Medium-Mesic Aspen Mix",1,"#9EFF0C","15_Medium-Mesic Aspen Mix"
"61","Athabasca Plain",50,7141,6917.16343453591,3,15.5,"Medium-Mesic Aspen Boreal Mixedwood",1,"#26FE00","50_Medium-Mesic Aspen Boreal Mixedwood"
