"","NSRNAME","DEP_ecosite","nPOLY","DEP_Area","DEP_Area_perc","DEPordNum","StralbergName","Color","DEPord"
"47","Kazan Uplands",13,NA,NA,NA,13,"Medium-Mesic Grassland","#D5FF95","13_Medium-Mesic Grassland"
"48","Lower Boreal Highlands",13,"4","4","0.3",13,"Medium-Mesic Grassland","#D5FF95","13_Medium-Mesic Grassland"
"49","Athabasca Plain",15,"4","1.30468911048956","0",15,"Medium-Mesic Aspen Mix","#B1FF38","15_Medium-Mesic Aspen Mix"
"50","Central Mixedwood",15,"8452","8387.80842940515","2.2",15,"Medium-Mesic Aspen Mix","#B1FF38","15_Medium-Mesic Aspen Mix"
"51","Kazan Uplands",15,NA,NA,NA,15,"Medium-Mesic Aspen Mix","#B1FF38","15_Medium-Mesic Aspen Mix"
"52","Lower Boreal Highlands",15,"404","371.602170802215","24",15,"Medium-Mesic Aspen Mix","#B1FF38","15_Medium-Mesic Aspen Mix"
"53","Athabasca Plain",50,"179","136.898905360587","0.3",17,"Medium-Mesic Boreal Aspen","#26FE00","50_Medium-Mesic Boreal Aspen"
"54","Central Mixedwood",50,"59494","59046.035343711","15.2",17,"Medium-Mesic Boreal Aspen","#26FE00","50_Medium-Mesic Boreal Aspen"
"55","Kazan Uplands",50,NA,NA,NA,17,"Medium-Mesic Boreal Aspen","#26FE00","50_Medium-Mesic Boreal Aspen"
"56","Lower Boreal Highlands",50,"493","430.518921858142","27.8",17,"Medium-Mesic Boreal Aspen","#26FE00","50_Medium-Mesic Boreal Aspen"
"57","Athabasca Plain",18,"42","23.6237228460468","0.1",18,"Medium-Mesic White Spruce","#085401","18_Medium-Mesic White Spruce"
"58","Central Mixedwood",18,"13936","13793.3232344784","3.6",18,"Medium-Mesic White Spruce","#085401","18_Medium-Mesic White Spruce"
"59","Kazan Uplands",18,NA,NA,NA,18,"Medium-Mesic White Spruce","#085401","18_Medium-Mesic White Spruce"
"60","Lower Boreal Highlands",18,"495","456.164650805644","29.4",18,"Medium-Mesic White Spruce","#085401","18_Medium-Mesic White Spruce"
"61","Athabasca Plain",20,"99","79.885467417178","0.2",20,"Medium-Hygric Poplar Mix","#14C800","20_Medium-Hygric Poplar Mix"
"62","Central Mixedwood",20,"11402","11337.2641953115","2.9",20,"Medium-Hygric Poplar Mix","#14C800","20_Medium-Hygric Poplar Mix"
"63","Kazan Uplands",20,NA,NA,NA,20,"Medium-Hygric Poplar Mix","#14C800","20_Medium-Hygric Poplar Mix"
"64","Lower Boreal Highlands",20,"64","57.0278911078349","3.7",20,"Medium-Hygric Poplar Mix","#14C800","20_Medium-Hygric Poplar Mix"
"65","Athabasca Plain",21,"10","6.10837586969137","0",21,"Medium-Hygric Spruce Mix","#3CBC2F","21_Medium-Hygric Spruce Mix"
"66","Central Mixedwood",21,"3811","3765.19582630059","1",21,"Medium-Hygric Spruce Mix","#3CBC2F","21_Medium-Hygric Spruce Mix"
"67","Kazan Uplands",21,NA,NA,NA,21,"Medium-Hygric Spruce Mix","#3CBC2F","21_Medium-Hygric Spruce Mix"
"68","Lower Boreal Highlands",21,"126","116.024147785793","7.5",21,"Medium-Hygric Spruce Mix","#3CBC2F","21_Medium-Hygric Spruce Mix"
"69","Athabasca Plain",25,"787","773.041873885319","1.6",25,"Medium-Hydric Shrub Fen","#9EB373","25_Medium-Hydric Shrub Fen"
"70","Central Mixedwood",25,"6208","6185.50834690512","1.6",25,"Medium-Hydric Shrub Fen","#9EB373","25_Medium-Hydric Shrub Fen"
"71","Kazan Uplands",25,NA,NA,NA,25,"Medium-Hydric Shrub Fen","#9EB373","25_Medium-Hydric Shrub Fen"
"72","Lower Boreal Highlands",25,"1","0","0",25,"Medium-Hydric Shrub Fen","#9EB373","25_Medium-Hydric Shrub Fen"
"73","Athabasca Plain",26,"2123","2064.22076193171","4.4",26,"Medium-Hydric Black Spruce Fen","#75AC00","26_Medium-Hydric Black Spruce Fen"
