"","NSRNAME","DEP_ecosite","nPOLY","DEP_Area","DEP_Area_perc","DEPordNum","Classification","Upland","Color","DEPord"
"44","Boreal Subarctic",7,809323,806486.625860534,68.3,7,"Poor-Hydric Black Spruce / Larch",0,"#666B14","7_Poor-Hydric Black Spruce / Larch"
"45","Central Mixedwood",7,3116789,3113328.8638221,18.6,7,"Poor-Hydric Black Spruce / Larch",0,"#666B14","7_Poor-Hydric Black Spruce / Larch"
"46","Dry Mixedwood",7,231316,230556.183259055,2.7,7,"Poor-Hydric Black Spruce / Larch",0,"#666B14","7_Poor-Hydric Black Spruce / Larch"
"47","Lower Boreal Highlands",7,1551450,1542944.82112524,27.8,7,"Poor-Hydric Black Spruce / Larch",0,"#666B14","7_Poor-Hydric Black Spruce / Larch"
"48","Northern Mixedwood",7,528146,526738.240831461,17.9,7,"Poor-Hydric Black Spruce / Larch",0,"#666B14","7_Poor-Hydric Black Spruce / Larch"
"49","Upper Boreal Highlands",7,351122,348797.439681165,29.4,7,"Poor-Hydric Black Spruce / Larch",0,"#666B14","7_Poor-Hydric Black Spruce / Larch"
"50","Athabasca Plain",8,9363,9247.51141342221,0.7,8,"Poor-Hydric Shrub",0,"#593E1F","8_Poor-Hydric Shrub"
"51","Boreal Subarctic",8,20476,20126.1756837246,1.7,8,"Poor-Hydric Shrub",0,"#593E1F","8_Poor-Hydric Shrub"
"52","Central Mixedwood",8,1024048,1023051.71343769,6.1,8,"Poor-Hydric Shrub",0,"#593E1F","8_Poor-Hydric Shrub"
"53","Dry Mixedwood",8,208812,208224.861295107,2.4,8,"Poor-Hydric Shrub",0,"#593E1F","8_Poor-Hydric Shrub"
"54","Lower Boreal Highlands",8,248914,247765.302907043,4.5,8,"Poor-Hydric Shrub",0,"#593E1F","8_Poor-Hydric Shrub"
"55","Northern Mixedwood",8,46474,46418.4310131309,1.6,8,"Poor-Hydric Shrub",0,"#593E1F","8_Poor-Hydric Shrub"
"56","Upper Boreal Highlands",8,32782,32484.0936504674,2.7,8,"Poor-Hydric Shrub",0,"#593E1F","8_Poor-Hydric Shrub"
"57","Athabasca Plain",9,1,0,0,9,"Medium-Xeric Grassland",1,"#FFFD77","9_Medium-Xeric Grassland"
"58","Boreal Subarctic",9,1064,1061.99886903167,0.1,9,"Medium-Xeric Grassland",1,"#FFFD77","9_Medium-Xeric Grassland"
"59","Central Mixedwood",9,4911,4882.19993062012,0,9,"Medium-Xeric Grassland",1,"#FFFD77","9_Medium-Xeric Grassland"
"60","Dry Mixedwood",9,3707,3688.84171530465,0,9,"Medium-Xeric Grassland",1,"#FFFD77","9_Medium-Xeric Grassland"
"61","Lower Boreal Highlands",9,2991,2908.8165952178,0.1,9,"Medium-Xeric Grassland",1,"#FFFD77","9_Medium-Xeric Grassland"
"62","Northern Mixedwood",9,16,14.851038120687,0,9,"Medium-Xeric Grassland",1,"#FFFD77","9_Medium-Xeric Grassland"
"63","Upper Boreal Highlands",9,5050,5011.69775494171,0.4,9,"Medium-Xeric Grassland",1,"#FFFD77","9_Medium-Xeric Grassland"
"64","Athabasca Plain",10,354,331.643837484493,0,10,"Medium-Xeric Aspen Mix",1,"#FFFB00","10_Medium-Xeric Aspen Mix"
"65","Boreal Subarctic",10,1,0,0,10,"Medium-Xeric Aspen Mix",1,"#FFFB00","10_Medium-Xeric Aspen Mix"
"66","Central Mixedwood",10,545654,544760.77482327,3.2,10,"Medium-Xeric Aspen Mix",1,"#FFFB00","10_Medium-Xeric Aspen Mix"
"67","Dry Mixedwood",10,11697,11402.14266672,0.1,10,"Medium-Xeric Aspen Mix",1,"#FFFB00","10_Medium-Xeric Aspen Mix"
"68","Lower Boreal Highlands",10,7327,6902.69966252481,0.1,10,"Medium-Xeric Aspen Mix",1,"#FFFB00","10_Medium-Xeric Aspen Mix"
"69","Northern Mixedwood",10,368,358.88065973483,0,10,"Medium-Xeric Aspen Mix",1,"#FFFB00","10_Medium-Xeric Aspen Mix"
"70","Upper Boreal Highlands",10,1708,1683.76729049254,0.1,10,"Medium-Xeric Aspen Mix",1,"#FFFB00","10_Medium-Xeric Aspen Mix"
"71","Athabasca Plain",11,3941,3932.86143314745,0.3,11,"Medium-Xeric Pine",1,"#7D0C0C","11_Medium-Xeric Pine"
"72","Boreal Subarctic",11,1199,1195.84648570232,0.1,11,"Medium-Xeric Pine",1,"#7D0C0C","11_Medium-Xeric Pine"
"73","Central Mixedwood",11,8626,8596.53179763029,0.1,11,"Medium-Xeric Pine",1,"#7D0C0C","11_Medium-Xeric Pine"
"74","Dry Mixedwood",11,797,795.176990717649,0,11,"Medium-Xeric Pine",1,"#7D0C0C","11_Medium-Xeric Pine"
"75","Lower Boreal Highlands",11,5508,5434.10869219268,0.1,11,"Medium-Xeric Pine",1,"#7D0C0C","11_Medium-Xeric Pine"
"76","Northern Mixedwood",11,12486,12469.5446888469,0.4,11,"Medium-Xeric Pine",1,"#7D0C0C","11_Medium-Xeric Pine"
"77","Upper Boreal Highlands",11,6595,6564.20487694337,0.6,11,"Medium-Xeric Pine",1,"#7D0C0C","11_Medium-Xeric Pine"
"78","Athabasca Plain",12,1786,1752.82424972707,0.1,12,"Medium-Xeric Spruce",1,"#698222","12_Medium-Xeric Spruce"
"79","Boreal Subarctic",12,1,0,0,12,"Medium-Xeric Spruce",1,"#698222","12_Medium-Xeric Spruce"
"80","Central Mixedwood",12,66156,66036.3816279183,0.4,12,"Medium-Xeric Spruce",1,"#698222","12_Medium-Xeric Spruce"
"81","Dry Mixedwood",12,3074,3069.65044699237,0,12,"Medium-Xeric Spruce",1,"#698222","12_Medium-Xeric Spruce"
"82","Lower Boreal Highlands",12,4292,4252.4932197528,0.1,12,"Medium-Xeric Spruce",1,"#698222","12_Medium-Xeric Spruce"
"83","Northern Mixedwood",12,1,0,0,12,"Medium-Xeric Spruce",1,"#698222","12_Medium-Xeric Spruce"
"84","Upper Boreal Highlands",12,30,15.5953434634648,0,12,"Medium-Xeric Spruce",1,"#698222","12_Medium-Xeric Spruce"
