"","NSRNAME","DEP_ecosite","nPOLY","DEP_Area","DEP_Area_perc","DEPordNum","Classification","Upland","Color","DEPord"
"185","Central Mixedwood",28,70,52.3045792960329,0,28,"Rich-Hygric Shrubland",0,"#99FF89","28_Rich-Hygric Shrubland"
"186","Dry Mixedwood",28,4828,4821.30465345204,0.1,28,"Rich-Hygric Shrubland",0,"#99FF89","28_Rich-Hygric Shrubland"
"187","Lower Boreal Highlands",28,6691,6666.07210723012,0.1,28,"Rich-Hygric Shrubland",0,"#99FF89","28_Rich-Hygric Shrubland"
"188","Northern Mixedwood",28,684,682.121727004647,0,28,"Rich-Hygric Shrubland",0,"#99FF89","28_Rich-Hygric Shrubland"
"189","Upper Boreal Highlands",28,48,27.5730291361688,0,28,"Rich-Hygric Shrubland",0,"#99FF89","28_Rich-Hygric Shrubland"
"190","Athabasca Plain",29,8610,8523.20187108003,0.6,29,"Rich-Hygric Poplar",0,"#00C89E","29_Rich-Hygric Poplar"
"191","Boreal Subarctic",29,14507,14046.9337996767,1.2,29,"Rich-Hygric Poplar",0,"#00C89E","29_Rich-Hygric Poplar"
"192","Central Mixedwood",29,367891,366768.071867086,2.2,29,"Rich-Hygric Poplar",0,"#00C89E","29_Rich-Hygric Poplar"
"193","Dry Mixedwood",29,165781,165223.103129269,1.9,29,"Rich-Hygric Poplar",0,"#00C89E","29_Rich-Hygric Poplar"
"194","Lower Boreal Highlands",29,164605,163271.540657834,2.9,29,"Rich-Hygric Poplar",0,"#00C89E","29_Rich-Hygric Poplar"
"195","Northern Mixedwood",29,37608,37470.4050738851,1.3,29,"Rich-Hygric Poplar",0,"#00C89E","29_Rich-Hygric Poplar"
"196","Upper Boreal Highlands",29,7954,7676.57799356685,0.6,29,"Rich-Hygric Poplar",0,"#00C89E","29_Rich-Hygric Poplar"
"197","Athabasca Plain",31,21521,21490.8422731519,1.6,31,"Rich-Hygric Spruce",0,"#0E995F","31_Rich-Hygric Spruce"
"198","Boreal Subarctic",31,736,700.669800293414,0.1,31,"Rich-Hygric Spruce",0,"#0E995F","31_Rich-Hygric Spruce"
"199","Central Mixedwood",31,215254,214516.18580987,1.3,31,"Rich-Hygric Spruce",0,"#0E995F","31_Rich-Hygric Spruce"
"200","Dry Mixedwood",31,40386,40177.9251536492,0.5,31,"Rich-Hygric Spruce",0,"#0E995F","31_Rich-Hygric Spruce"
"201","Lower Boreal Highlands",31,154543,153408.01720077,2.8,31,"Rich-Hygric Spruce",0,"#0E995F","31_Rich-Hygric Spruce"
"202","Northern Mixedwood",31,31209,31072.2000136818,1.1,31,"Rich-Hygric Spruce",0,"#0E995F","31_Rich-Hygric Spruce"
"203","Upper Boreal Highlands",31,45258,44759.1959625868,3.8,31,"Rich-Hygric Spruce",0,"#0E995F","31_Rich-Hygric Spruce"
"204","Athabasca Plain",32,3042,3023.0515860687,0.2,32,"Rich-Hydric Grass Fen",0,"#9FFFD7","32_Rich-Hydric Grass Fen"
"205","Boreal Subarctic",32,1,0,0,32,"Rich-Hydric Grass Fen",0,"#9FFFD7","32_Rich-Hydric Grass Fen"
"206","Central Mixedwood",32,27841,27794.667411392,0.2,32,"Rich-Hydric Grass Fen",0,"#9FFFD7","32_Rich-Hydric Grass Fen"
"207","Dry Mixedwood",32,2343,2340.78882743418,0,32,"Rich-Hydric Grass Fen",0,"#9FFFD7","32_Rich-Hydric Grass Fen"
"208","Lower Boreal Highlands",32,6380,6364.29154815082,0.1,32,"Rich-Hydric Grass Fen",0,"#9FFFD7","32_Rich-Hydric Grass Fen"
"209","Northern Mixedwood",32,32086,32051.0457403473,1.1,32,"Rich-Hydric Grass Fen",0,"#9FFFD7","32_Rich-Hydric Grass Fen"
"210","Upper Boreal Highlands",32,15,11.0109391165897,0,32,"Rich-Hydric Grass Fen",0,"#9FFFD7","32_Rich-Hydric Grass Fen"
"211","Athabasca Plain",33,118683,118431.54194654,8.8,33,"Rich-Hydric Shrub Fen",0,"#2DFFA7","33_Rich-Hydric Shrub Fen"
"212","Boreal Subarctic",33,956,952.245618477464,0.1,33,"Rich-Hydric Shrub Fen",0,"#2DFFA7","33_Rich-Hydric Shrub Fen"
"213","Central Mixedwood",33,747594,746772.391719696,4.5,33,"Rich-Hydric Shrub Fen",0,"#2DFFA7","33_Rich-Hydric Shrub Fen"
"214","Dry Mixedwood",33,51169,50909.355055271,0.6,33,"Rich-Hydric Shrub Fen",0,"#2DFFA7","33_Rich-Hydric Shrub Fen"
"215","Lower Boreal Highlands",33,7942,7818.33061413856,0.1,33,"Rich-Hydric Shrub Fen",0,"#2DFFA7","33_Rich-Hydric Shrub Fen"
"216","Northern Mixedwood",33,314519,314140.693216792,10.7,33,"Rich-Hydric Shrub Fen",0,"#2DFFA7","33_Rich-Hydric Shrub Fen"
"217","Upper Boreal Highlands",33,803,794.08253595978,0.1,33,"Rich-Hydric Shrub Fen",0,"#2DFFA7","33_Rich-Hydric Shrub Fen"
"218","Athabasca Plain",34,26130,25972.5650406676,1.9,34,"Rich-Hydric Black Spruce",0,"#0C5437","34_Rich-Hydric Black Spruce"
"219","Boreal Subarctic",34,8234,8055.77628451353,0.7,34,"Rich-Hydric Black Spruce",0,"#0C5437","34_Rich-Hydric Black Spruce"
"220","Central Mixedwood",34,508784,508007.424851352,3,34,"Rich-Hydric Black Spruce",0,"#0C5437","34_Rich-Hydric Black Spruce"
"221","Dry Mixedwood",34,62106,61835.9214816033,0.7,34,"Rich-Hydric Black Spruce",0,"#0C5437","34_Rich-Hydric Black Spruce"
"222","Lower Boreal Highlands",34,47096,46581.8934141857,0.8,34,"Rich-Hydric Black Spruce",0,"#0C5437","34_Rich-Hydric Black Spruce"
"223","Northern Mixedwood",34,372115,371944.842272453,12.6,34,"Rich-Hydric Black Spruce",0,"#0C5437","34_Rich-Hydric Black Spruce"
"224","Upper Boreal Highlands",34,2812,2758.74732260848,0.2,34,"Rich-Hydric Black Spruce",0,"#0C5437","34_Rich-Hydric Black Spruce"
"225","Athabasca Plain",35,690,676.346569638699,0.1,35,"Shrub Swamp",0,"#ADFFE7","35_Shrub Swamp"
"226","Boreal Subarctic",35,354,350.257162958384,0,35,"Shrub Swamp",0,"#ADFFE7","35_Shrub Swamp"
"227","Central Mixedwood",35,111665,111469.243607861,0.7,35,"Shrub Swamp",0,"#ADFFE7","35_Shrub Swamp"
"228","Dry Mixedwood",35,31652,31512.0939274551,0.4,35,"Shrub Swamp",0,"#ADFFE7","35_Shrub Swamp"
"229","Lower Boreal Highlands",35,25636,25527.8644313719,0.5,35,"Shrub Swamp",0,"#ADFFE7","35_Shrub Swamp"
"230","Northern Mixedwood",35,6765,6754.10968217018,0.2,35,"Shrub Swamp",0,"#ADFFE7","35_Shrub Swamp"
"231","Upper Boreal Highlands",35,1124,1110.84871456769,0.1,35,"Shrub Swamp",0,"#ADFFE7","35_Shrub Swamp"
"232","Athabasca Plain",39,256178,255720.75697706,19,39,"Lake",0,"#3649F9","39_Lake"
"233","Boreal Subarctic",39,45655,45627.1830227822,3.9,39,"Lake",0,"#3649F9","39_Lake"
"234","Central Mixedwood",39,688045,686617.784932765,4.1,39,"Lake",0,"#3649F9","39_Lake"
"235","Dry Mixedwood",39,262641,261122.658044055,3.1,39,"Lake",0,"#3649F9","39_Lake"
"236","Lower Boreal Highlands",39,61019,60829.0976747847,1.1,39,"Lake",0,"#3649F9","39_Lake"
"237","Northern Mixedwood",39,133203,133012.935079541,4.5,39,"Lake",0,"#3649F9","39_Lake"
"238","Upper Boreal Highlands",39,17817,17731.5521919788,1.5,39,"Lake",0,"#3649F9","39_Lake"
"239","Athabasca Plain",41,1,0,0,41,"Agriculture",0,"#AB9F95","41_Agriculture"
"240","Boreal Subarctic",41,1,0,0,41,"Agriculture",0,"#AB9F95","41_Agriculture"
"241","Central Mixedwood",41,220611,215861.573357272,1.3,41,"Agriculture",0,"#AB9F95","41_Agriculture"
"242","Dry Mixedwood",41,2489730,2482312.2432978,29.1,41,"Agriculture",0,"#AB9F95","41_Agriculture"
"243","Lower Boreal Highlands",41,25182,24300.1200943256,0.4,41,"Agriculture",0,"#AB9F95","41_Agriculture"
"244","Northern Mixedwood",41,1,0,0,41,"Agriculture",0,"#AB9F95","41_Agriculture"
"245","Upper Boreal Highlands",41,1,0,0,41,"Agriculture",0,"#AB9F95","41_Agriculture"
"246","Athabasca Plain",42,20,17.3875848650932,0,42,"Urban",0,"#373737","42_Urban"
"247","Boreal Subarctic",42,1,0,0,42,"Urban",0,"#373737","42_Urban"
"248","Central Mixedwood",42,8637,8493.08764775694,0.1,42,"Urban",0,"#373737","42_Urban"
"249","Dry Mixedwood",42,66658,66468.5087505682,0.8,42,"Urban",0,"#373737","42_Urban"
"250","Lower Boreal Highlands",42,466,458.047048348621,0,42,"Urban",0,"#373737","42_Urban"
"251","Northern Mixedwood",42,349,339.069631658494,0,42,"Urban",0,"#373737","42_Urban"
"252","Upper Boreal Highlands",42,1,0,0,42,"Urban",0,"#373737","42_Urban"
"253","Athabasca Plain",43,2534,2503.67198013351,0.2,43,"Other Non-Fuel",0,"#ACAC96","43_Other Non-Fuel"
"254","Boreal Subarctic",43,1,0,0,43,"Other Non-Fuel",0,"#ACAC96","43_Other Non-Fuel"
"255","Central Mixedwood",43,149560,149391.230046277,0.9,43,"Other Non-Fuel",0,"#ACAC96","43_Other Non-Fuel"
"256","Dry Mixedwood",43,1515,1471.88174523931,0,43,"Other Non-Fuel",0,"#ACAC96","43_Other Non-Fuel"
"257","Lower Boreal Highlands",43,1075,1020.18632097635,0,43,"Other Non-Fuel",0,"#ACAC96","43_Other Non-Fuel"
"258","Northern Mixedwood",43,8017,7991.02189697535,0.3,43,"Other Non-Fuel",0,"#ACAC96","43_Other Non-Fuel"
"259","Upper Boreal Highlands",43,782,767.076125819,0.1,43,"Other Non-Fuel",0,"#ACAC96","43_Other Non-Fuel"
